mature NK T cell,"activated CD8-positive, alpha-beta T cell",B cell,endothelial cell of lymphatic vessel,native cell,mesothelial cell,smooth muscle cell,CD14-positive monocyte,mast cell,monocyte,"activated CD4-positive, alpha-beta T cell",natural killer cell,fibroblast,neural cell,endothelial cell,dendritic cell,regular atrial cardiac myocyte,"CD8-positive, alpha-beta cytotoxic T cell",macrophage,capillary endothelial cell,"CD14-positive, CD16-positive monocyte",endothelial cell of artery,vein endothelial cell,pericyte cell,epicardial adipocyte,regular ventricular cardiac myocyte,"CD4-positive, alpha-beta cytotoxic T cell"
TXK,PARP8,BANK1,CCL21,LAMA2,ITLN1,MYH11,SLC11A1,NTM,SLC11A1,LEF1,TXK,DCN,NRXN1,PCDH15,POLQ,MYL7,PARP8,F13A1,BTNL9,CD163,BTNL9,RAMP3,PDGFRB,GPAM,FHL2,THEMIS
CD247,CNOT6L,AFF3,MMRN1,DCN,HP,ZFHX3,RBM47,SLC24A3,MSR1,IL7R,KLRD1,ABCA8,NRXN3,LDB2,DIAPH3,MYH6,THEMIS,RBPJ,VWF,SLC11A1,MECOM,PTPRB,ABCC9,FASN,RYR2,PARP8
KLRD1,ITK,RALGPS2,SEMA3A,APOD,PLA2G2A,KCNAB1,FMN1,KIT,ALCAM,CCR7,CD247,ABCA6,XKR4,ADAMTSL1,BRIP1,ANKRD1,CAMK4,RBM47,KIAA1217,MERTK,LINC00639,SLCO2A1,FRMD3,G0S2,TTN,BCL11B
MCTP2,FYN,BLK,PPFIBP1,CFD,C3,PRKG1,VCAN,IL18R1,SLC16A10,LTB,KLRC1,ABCA9,CADM2,POSTN,MELK,TRDN,TC2N,MRC1,FLT1,RBM47,VWF,VWF,DLC1,ACACB,SGCD,IL7R
KLRC1,SYTL3,LINC00926,PKHD1L1,C7,KCNT2,ACTA2,CD163,CDK15,ITGAX,THOC3,LINC00299,BICC1,CDH19,CGNL1,TOP2A,RYR2,ITK,CD163,ADGRF5,CLEC7A,SMAD6,FAM155A,EGFLAM,SCD,CTNNA3,CAMK4
CARD11,PTPRC,MS4A1,TFPI,SERPINF1,CCDC80,NTRK3,CSF3R,KIAA1549,RBM47,BCL11B,GNLY,LAMA2,CHL1,TMEM108,F13A1,ERBB4,BCL11B,STAB1,F8,TLR2,F8,ACKR1,GUCY1A2,PLIN1,FGF12,ITK
AOAH,CAMK4,GNG7,RELN,CCL11,TIMP1,LMOD1,TLR2,CPA3,FMN1,ITK,KLRF1,C7,SORCS1,EMCN,ANLN,FGF12,SLFN12L,MS4A6A,ANO2,MS4A6A,ID1,CALCRL,MYO1B,MGST1,MLIP,SKAP1
APBA2,IL7R,SEL1L3,SMAD1,ABCA9,PRG4,LINC01568,GLT1D1,SLC38A11,CD163,PDE3B,MCTP2,NEGR1,ZNF536,ST6GALNAC3,CLSPN,KCNJ3,IL7R,COLEC12,EGFL7,HCK,EPAS1,LDB2,RGS5,LINC00598,SORBS2,INPP4B
CD160,CXCR4,FCRL1,PROX1,NEGR1,SLPI,ITGA8,KYNU,HPGDS,MYO1F,CAMK4,NCR1,KAZN,SLC35F1,MYRIP,FMN1,TTN,DTHD1,PLTP,ABLIM3,MRC1,ARL15,TSHZ2,NGF,PNPLA2,RBM20,PTPRC
SKAP1,THEMIS,WDFY4,TBX1,ABCA6,GFPT2,PLA2G5,MERTK,SLC18A2,KYNU,INPP4B,AOAH,ACSM3,GPM6B,EGFL7,KIF18B,ZNF385B,PTPRC,SLC9A9,CA4,DIRC3,FLT1,ANO2,PDZD2,PPARG,SLC8A1,C15orf53
PARP8,STAT4,FAM129C,STOX2,GSN,KRT19,TBX2,IL1R2,FER,DCSTAMP,ARHGAP15,APBA2,ABCA10,ADGRB3,SMOC1,CENPP,PALLD,CD2,FRMD4B,LDB2,MSR1,PTPRB,NOSTRIN,PLA2G5,SOX5,C15orf41,CD2
SAMD3,DUSP2,PAX5,AKAP12,ABCA8,HAS1,CACNA1C,TBXAS1,STX3,TPRG1,THEMIS,SAMD3,COL6A3,KIRREL3,PCDH7,COLEC12,TBX5,ZNF831,LYVE1,RGCC,FMN1,ANO2,EMCN,PTH1R,ACSL1,MYBPC3,ARHGAP15
KCNQ5,GZMK,OSBPL10,FLT4,ACSM3,UPK3B,PDGFRB,HCK,TNIK,TBXAS1,SELL,PYHIN1,DCLK1,LGI4,INHBA,BUB1B,PAM,SKAP1,FMN1,PTPRM,TBXAS1,HEY1,TPO,PDE1C,ME1,FHOD3,CD69
CD96,TC2N,CCSER1,KALRN,COL6A3,WWC1,DLC1,FCN1,SLC8A3,OLR1,TRABD2A,SKAP1,ABCA9-AS1,NCAM2,HMCN1,BRCA2,MYL4,FYN,C1QC,MGLL,CTSB,EGFL7,PKP4,EPS8,GHR,CACNA1C,JAKMIP1
PYHIN1,DTHD1,ADAM28,TSHZ2,NPPC,PKHD1L1,RGS6,CLEC7A,TPSB2,CTSB,ANK3,SYTL3,CDH19,SHISA9,BMPER,MKI67,NPPA,CNOT6L,SLCO2B1,EMCN,NPL,ST6GALNAC3,EGFL7,PRKG1,LPL,MYOM1,IKZF1
CCL4,SKAP1,AIM2,EFNA5,CDH19,MSLN,MRVI1,MSR1,MS4A2,SPOCD1,IKZF1,CARD11,RORA,SCN7A,ENG,ATAD2,CADPS,SYTL3,RGL1,ID1,MARCO,LDB2,CADM3-AS1,SLC16A12,LIPE-AS1,TENM2,CD96
KLRF1,BCL11B,PLCG2,RHOJ,ABCA9-AS1,KRT18,RBPMS,MYO1F,RAB27B,RNF149,TXK,CD96,GSN,NKAIN3,TMEM132C,GTSE1,CMYA5,PRKCQ,MSR1,ANXA3,F13A1,PTPRM,CPXM2,NR2F2-AS1,ADIPOQ,DMD,PBX4
XCL1,CD8A,CD74,CNKSR3,MMP2,BNC2,NR2F2-AS1,FCAR,BMP2K,RAB31,SERINC5,PARP8,CFD,FRMD5,GMDS,EZH2,SYNPR,ETS1,NEURL2,ST6GALNAC3,MYO1F,GALNT18,MYRIP,STEAP4,MLXIPL,LDB3,TC2N
TOX,PRKCQ,POU2AF1,SCN3B,VIT,CFB,RCAN2,ANPEP,TPSAB1,MERTK,BTBD11,SLFN12L,MGP,ANK3,NRG3,NUSAP1,LDB3,STAT4,CTSB,TNNT3,ELAVL4,CPAMD8,RAB3C,EBF2,ACSS2,PALLD,PRKCQ
STAT4,GZMH,CNR2,SEMA3D,PRKG1,RBFOX1,HES4,RNF149,RGS13,SIPA1L1,CD6,SH2D1B,FBLN1,KCNMB4,VWF,RBPJ,PXDNL,JAKMIP1,ZEB2,SLC9C1,ABCC3,ADGRF5,SELE,HIGD1B,GPD1,NEXN,SLAMF6
