pc,fb,cmc,ec,myeloid,adipocytes,neuronal,smc,lymphoid
ABCC9,DCN,MLIP,LDB2,F13A1,GPAM,NRXN1,MYH11,SKAP1
FRMD3,BICC1,FGF12,VWF,RBM47,G0S2,XKR4,ITGA8,CD247
GUCY1A2,C7,TECRL,EMCN,FMN1,PLIN1,NRXN3,NTRK3,AC022075.1
EGFLAM,ABCA9,RBM20,EGFL7,MRC1,FASN,CADM2,ZFHX3,THEMIS
RGS5,DCLK1,TTN,ST6GALNAC3,RBPJ,DGAT2,AC016766.1,ACTA2,PTPRC
MYO1B,ACSM3,MYOM1,PTPRB,CD163,PNPLA2,CHL1,LMOD1,CD69
AGT,SERPINF1,TRDN-AS1,ANO2,FRMD4B,MLXIPL,SORCS1,KCNAB1,SAMD3
RIPOR3,ABCA6,TRDN,FLT1,MS4A6A,PLIN4,LGI4,TAGLN,ITK
KCNJ8,ABCA10,CMYA5,ID1,MSR1,GPD1,GPM6B,LINC01568,RUNX3
NGF,CFD,MYBPC3,RAMP3,STAB1,PPARG,KIRREL3,RGS6,SLFN12L
THBS4,MGP,NEXN,F8,COLEC12,SCD,ZNF536,CCDC3,BCL11B
HIGD1B,COL6A3,NEBL,PECAM1,SLCO2B1,ACACB,KCNMB4,ID4,ACAP1
PDGFRB,ABCA9-AS1,RYR2,IFI27,LYVE1,THRSP,NCAM2,FLNA,SYTL3
AL138828.1,FBN1,LDB3,SLC9A3R2,SLC9A9,LIPE-AS1,SLC35F1,LAMA3,STAT4
BMP5,NOVA1,CHRM2,ERG,SYK,ADIPOQ,SEMA3B,WFDC1,CARD11
DCBLD1,FBLN1,MYO18B,ADGRL4,CTSB,MGST1,CDH19,CHRM3,PYHIN1
NDUFA4L2,LUM,ACTN2,CYYR1,ATP8B4,LINC02240,AC008056.1,CARMN,AOAH
FAM162B,ABI3BP,THSD4,TM4SF1,ARHGAP18,ACSS2,FRMD5,HES4,RIPOR2
AC012409.2,KAZN,MYOM2,ADGRF5,VSIG4,AGPAT2,ST6GALNAC5,SLIT3,PRKCQ
STEAP4,TNXB,FHOD3,BTNL9,TLR2,PRKAR2B,NKAIN3,PDZRN4,GZMA
