MNP-b/non-classical monocyte derived,CD4 T cell,Ascending vasa recta endothelium,Pelvic epithelium,NKT cell,Connecting tubule,Peritubular capillary endothelium,Glomerular endothelium,NK cell,Plasmacytoid dendritic cell,B cell,Neutrophil,Myofibroblast,Podocyte,Intercalated cell,Principal cell,Epithelial progenitor cell,Thick ascending limb of Loop of Henle,CD8 T cell,Proximal tubule,MNP-c/dendritic cell,MNP-d/Tissue macrophage,Fibroblast,Transitional urothelium,Mast cell,Descending vasa recta endothelium,MNP-a/classical monocyte derived
LINC01272,IL7R,ACKR1,LCN2,GZMH,CALB1,CA4,CRHBP,KLRF1,CLEC4C,CD79A,FCGR3B,RGS5,PCOLCE2,ATP6V1G3,PTGER1,LIX1,DUSP9,GZMK,ALDOB,FCER1A,C1QC,LUM,UPK1A,TPSAB1,CLDN5,VCAN
LILRB2,CD40LG,GPM6A,SAA2,TRGC2,TEX41,TMEM88,EHD3,SPON2,SHD,MS4A1,CMTM2,FRZB,WT1,ATP6V0D2,AQP2,CLDN3,PCP4,CD8B,GSTA1,HLA-DQB2,FOLR2,C1S,UPK3A,TPSB2,SOX17,LYZ
LILRA1,TNFRSF25,SELP,KRT17,PATL2,HSD11B2,HSPG2,MEG3,TXK,LRRC26,IGHA1,PGLYRP1,TAGLN,RP11-550H2.2,ATP6V1C2,FXYD4,PROM1,KNG1,SH2D1A,UGT2B7,CSF2RA,C1QB,COL1A2,ARL14,CPA3,ENPP2,S100A8
LILRA5,LEF1,GDF3,KRT13,KLRG1,EMX1,CD93,SOST,CD247,PTCRA,BANK1,ORM1,ACTA2,FGF1,FAM24B,RP11-396O20.1,EGOT,UMOD,CD8A,PDZK1IP1,CD1E,C1QA,PDGFRL,KSR2,MS4A2,LCN6,RP11-1143G9.4
LRRC25,LTB,SELE,GPX2,CD3G,TFAP2A,DNASE1L3,FCN3,CLIC3,RP11-73G16.2,RP5-887A10.1,CXCR2,RERGL,TCF21,TMEM213,AQP3,ABCA4,PPP1R1A,TRAC,GATM,CLEC9A,F13A1,PRELP,SNX31,HPGDS,FBLN2,S100A12
MS4A7,TRAC,COL3A1,CEACAM6,GNLY,RP11-1260E13.1,PLVAP,ITGA8,KLRD1,SMPD3,IGKC,NFE4,NDUFA4L2,PTPRO,RACGAP1,MNS1,CLDN10,TUBB2B,CXCR6,NAT8,CD1C,GPR34,COL1A1,CRISP3,SLC18A2,PALMD,S100A9
CD300LF,CCR6,VCAM1,MUC4,A2M-AS1,SCUBE3,SSUH2,PLAT,TRDC,RP11-71G12.1,AL928768.3,ADGRG3,PLN,CLIC5,IL18,L1CAM,SH3GL3,CLDN16,CCL5,FABP1,RP6-91H8.3,HAMP,ABCA8,DHRS2,TPSD1,ADM5,CSTA
HCK,RP11-1399P15.1,SEMA3D,CYP4B1,NKG7,SLC8A1,OLFM3,PRX,SH2D1B,SCT,IGHG1,ARG1,MYH11,NPHS2,SLC26A7,AVPR2,SULT2B1,NUDT4,TRAT1,MIOX,CLEC10A,RP11-480C22.1,SFRP4,SPINK8,RGS13,RBP7,CD36
HK3,RP11-223C24.1,VWF,KRT23,GZMB,LHX1,GSN,CMTM8,PRF1,CUX2,VPREB3,LINC00664,NOTCH3,F3,FOXI1,EYA4,CNTD2,UCHL1,CD3E,HPD,CLEC5A,MRC1,PDGFRA,TEPP,AC004791.2,KCNN3,FCN1
ADGRE1,SLAMF1,CCL23,FXYD3,TTC16,NR0B2,EHD4,NTN4,MYOM2,RP11-117D22.2,IGLC2,TNFAIP6,LGI4,MXRA8,DMRT2,SCNN1G,SLC4A11,TYRP1,TIGIT,BBOX1,TREM2,LYVE1,FBLN1,ALOX15,RP11-354E11.2,LEPR,EREG
PILRA,CAMK4,CCL14,DUOXA2,FGFBP2,HMGCS2,A2M,EMCN,KLRB1,LILRA4,P2RX5,PTGS2,TPM2,CRB2,SMIM6,PWRN1,AKR1C1,GPC5,CD3D,PCK1,HLA-DQA2,SLCO2B1,OLFML3,TMEM97,VWA5A,IGF2,THBS1
LST1,GPR171,PLVAP,AGR2,CCL5,SNTG1,COL15A1,F8,CD7,MYBL2,CD79B,RP11-561P12.5,PLAC9,PLA2R1,LINC01187,SPTBN2,LMTK3,SLC12A1,PDCD1,BHMT,C3,MS4A4E,OGN,SCUBE2,CALB2,GLYATL2,CD14
TNFRSF8,RP11-18H21.1,LHX6,SPRR3,CD3D,RGS7,RGCC,TGFBR2,TMIGD2,TCL1A,BLK,G0S2,BGN,NTNG1,HEPACAM2,RP11-531H8.2,SOD3,CTD-2247C11.5,IL32,GLYAT,FCGR2B,VSIG4,C7,RP11-400K9.4,CTSG,ADAMTS6,MNDA
LYPD2,TRAT1,TFF3,DUOX2,CD8A,SLC52A3,SPARCL1,PLPP3,CD160,IRF4,LINC00926,PHOSPHO1,PDGFRB,NECAB1,ATP6V0A4,RP11-527L4.2,GABRP,RALYL,TRBC2,TMEM27,ADORA3,DNM1P35,MFAP4,CYSRT1,HDC,AQP1,MCEMP1
CFD,TRBC2,DNASE1L3,CEACAM5,LYAR,LINC01099,UACA,ARRDC2,IL2RB,AC007880.1,IGHA2,ZDHHC19,CARMN,NPHS1,C12orf75,RP11-469H8.8,IRX2,DEFB1,CD2,GSTA2,TM6SF1,TREM2,DKK1,UPK3B,KRT1,ADAM15,RNASE2
GPBAR1,LEPROTL1,EDIL3,CEACAM7,AC092580.4,ATP12A,RBP1,LINC00551,S1PR5,LINC00996,TNFRSF13C,RP11-317G6.1,C2orf40,DDN,C1orf64,ADH1C,PLEKHH2,HSPA2,CRTAM,DPEP1,RP11-404O13.5,RP11-467I17.1,ASPN,TH,GCSAML,CAV1,IL1B
TCF7L2,CD2,PMP22,TMC5,PPP2R5C,RP11-445F12.1,LIMS2,HECW2,FGFBP2,PACSIN1,FCRLA,MIR2052HG,NTRK3,WT1-AS,ATP6V1B1,C1orf168,SCTR,C16orf89,XCL1,KHK,BHLHE41,LILRB5,SFRP2,AC006116.17,ADCYAP1,SERPINE2,CLEC4E
ADGRE2,IL32,NTS,TMEM40,KLRD1,MTRNR2L1,SLC51B,IL1RL1,GZMB,LAMP5,IGHG2,FBXO40,COX4I2,MRGPRF,ADTRP,MMP1,PAPPA2,RP11-573D15.8,CD27,PDZK1,VSIG4,RP11-384P7.7,COL16A1,RP11-320N21.1,RP11-501J20.5,JAG2,FCAR
FAM26F,CD3D,FLRT2,SAA1,MIAT,ADAMTS16,PRKCDBP,RXFP1,GNLY,SLITRK5,IGLC3,CACNA1E,SLIT3,PHACTR3,CLNK,PQLC2L,KCNK15,FABP3,RGS1,CMBL,RNASE6,RP11-662I13.2,FMOD,GABBR2,C1orf186,DHH,CYBB
LILRB1,CD3E,ADGRG6,CST6,KLRC4,SCNN1B,SDPR,SYNE1,NCR1,MIR4432HG,IGHG3,CTD-3131K8.3,CSPG4,TPPP3,SLC4A1,FAM81B,CHST9,TMEM52B,GPR171,HRSP12,CD207,CTB-37A13.1,CTSK,UPK1B,CDK15,KRTAP5-11,CTB-61M7.2
IFI30,IL23R,CCL21,PTGES,RP11-305L7.3,PIK3C2G,FLT1,LDB2,NKG7,PHEX,POU2AF1,HAL,LMOD1,LINC00839,EPS8,PAPPA,PKHD1,TMEM207,GZMA,SLC22A8,LAMP3,RP11-513H8.1,PLA2G2A,LEAP2,KIT,DNAJB7,ASGR1
