,Pvalb,L5 IT,Sst,OPC,L6 IT Car3,VLMC,L5/6 NP,L6b,Vip,L6 CT,Endo,L6 IT,Astro,Sst Chodl,L2/3 IT,Oligo,Micro-PVM,L5 ET,Sncg,Lamp5
0,ADAMTS17,LOC105374971,SST,VCAN,LOC105378486,COLEC12,NPSR1-AS1,LOC401134,VIP,ADAMTSL1,ABCB1,LOC105371832,RNF219-AS1,NPY,CUX2,ST18,DOCK8,LOC105378657,CXCL14,FGF13
1,BTBD11,LOC105377703,GRIK1,LHFPL3,ZNF804B,LINC01088,HTR2C,MDFIC,GALNTL6,HS3ST4,FLT1,THEMIS,ADGRV1,NOS1,LINC00507,PLP1,ADAM28,COL5A2,CNR1,EYA4
2,ERBB4,LOC102546299,NXPH1,PDGFRA,TRPC5,LOC105377979,TSHZ2,HS3ST4,TAC3,SEMA3E,HERC2P3,LOC105373893,LOC101927437,CRHBP,LINC01378,MOBP,APBB1IP,LOC105369860,CHRNA7,KIT
3,CNTNAP3B,FSTL4,COL25A1,COL9A1,ATP10A,DCN,TLL1,MCTP2,ADARB2,LOC105373592,MECOM,ADAMTS3,AQP4,SST,CA10,ENPP2,P2RY12,VAT1L,ADARB2,PDGFD
4,LOC101929680,RORB,FLT3,PTPRZ1,NTNG2,LOC102467224,ITGA8,NPFFR2,SYNPR,EGFEM1P,ABCG2,LOC101928278,SLC1A2,STAC,HS6ST3,LOC101927967,ST6GAL1,LOC101927745,NR2F2-AS1,PRELID2
5,NXPH1,LOC105374973,STXBP6,PCDH15,RGS12,ITIH5,LOC105378334,FOXP2,SHISA8,LOC101927389,PRKCH,PTPRK,FGFR3,NPY2R,LAMA2,MBP,FYB,FAM19A1,CNTN5,TRPC3
6,ZNF804A,IL1RAPL2,SYNPR,STK32A,ABCC3,ABCA9,NXPH2,SEMA3D,THSD7A,TRPM3,IFI27,LINC00343,GPC5,CCDC109B,NDST3,UGT8,PLXDC2,LOC101929352,FSTL5,SV2C
7,CNTNAP3,CPNE4,SOX6,SEMA5A,NWD2,COL15A1,LOC101928114,LOC101927439,SLC24A3,SEMA5A,EMCN,LOC105373896,SLC1A3,LOC105274304,CBLN2,CTNNA3,AOAH,COL24A1,MAML3,ALK
8,RNF144B,LOC105374972,SHISA6,LOC105377632,GAS2L3,COL6A3,FER1L6-AS2,SEMA3A,PLD5,PDE1A,EPAS1,CDH12,APOE,IL1RAPL2,SLC38A11,RNF220,PTPRC,NRP1,CCK,MYO16
9,SLIT2,CADPS2,NMU,CA10,CUX1,LOC105379082,CDH6,KIAA1217,ERBB4,LOC105371833,EBF1,LOC105371310,COL5A3,SOX6,FAM19A1,LOC101927459,TBXAS1,CBLN2,GALNTL6,ADARB2
10,PVALB,LINCR-0002,KIF26B,TNR,THEMIS,ARHGAP29,LOC729732,RXFP1,CHRNA2,TLE4,ADGRF5,LOC101927871,CST3,MPPED2,PVRL3,KCNH8,ATP8B4,PTCHD1-AS,RGS12,LAMP5
11,SAMD5,RXFP1,SPOCK3,MEGF11,SORBS2,ABCA10,CD36,ZFHX3,RGS12,ABO,LEF1,LOC105375639,ARHGAP24,TRPC6,ONECUT2,CERCAM,LOC105370359,OR51E2,LOC642484,PTCHD4
12,LRRC38,MKX,PLCH1,FERMT1,LOC101928964,SRPX2,ZNF385D,DACH1,PROX1,OLFM3,PALMD,TTC6,ATP1A2,FAM46A,KCNIP4,TMEM144,BLNK,NRG1,KCNG1,FBXL7
13,SOX6,LINC01202,LOC105373154,OLIG1,CADPS2,LAMA2,LOC105369818,C10orf11,CALB2,LOC101927406,GPCPD1,RALYL,GLIS3,TACR1,LINC00508,COL4A5,SFMBT2,SPHKAP,CNTNAP4,LINC00299
14,TMEM132C,LOC102724736,COL19A1,LOC105371611,LOC100128714,ABCA6,CRYM,TLE4,DLX6-AS1,NRG1,COBLL1,LY86-AS1,HPSE2,LOC105377872,TPBG,FRMD4B,C10orf11,PQLC2L,LINC01539,UNC13C
15,C18orf42,KCNIP4,LOC105374696,EPN2,KCTD16,ASPN,HS3ST4,PCDH11X,GPR149,LOC105376591,ST8SIA6,LOC101928250,NHSL1,GRIK1,ENC1,SLC5A11,ARHGAP24,CLEC2L,ADRA1A,NTNG1
16,MYO5B,TRABD2A,DKK2,LOC105374875,PDE1A,LOC102724210,CPNE4,SEMA3E,SLC22A3,LOC105373893,CLEC3B,MCTP1,BMPR1B,DDC,LOC102724900,C10orf90,LPAR6,LINC00922,ERBB4,GAD2
17,PLCXD3,RALYL,TRHDE,SOX6,LOC102724392,UACA,PHLDB2,LOC105377183,PTHLH,LINC01257,ELOVL7,CBLN2,LOC105376917,CASC15,R3HDM1,MOG,RUNX1,TXK,NDNF,SLC6A1
18,LOC102724514,LOC105373893,PDCL2,LOC105379054,GALNT14,F13A1,GRM8,LOC105372892,NPR3,FOXP2,ADGRL4,LOC101927960,GFAP,TMTC1,GPR26,CARNS1,CSF1R,LOC105373626,INPP4B,LOC105371641
19,ANK1,LOC101927835,LOC105377567,LOC102725045,STK32B,TNFRSF19,LOC105370402,DPP4,PPP1R1C,OBP2B,SLC7A1,MLIP,GLI3,LRP8,ATRNL1,TRIM59,SYNDIG1,C4orf22,RXRG,NXPH1
