astrocyte,oligodendrocyte,oligodendrocyte precursor cell,brain pericyte,microglial cell,endothelial cell,macrophage,neuron,olfactory ensheathing cell,ependymal cell
Tnc,Mbp,Pcdh15,Ranbp3l,Dock2,Flt1,Mrc1,Cntnap2,Sntb1,1700007G11Rik
Slc1a2,St18,Nxph1,Bmp6,Hexb,Mecom,F13a1,Syt1,Mybpc1,Spag16
Grm3,Bcas1,Pcdh11x,Sidt1,Inpp5d,Ets1,Stab1,Grin2b,Efna5,Spef2
Trim9,Nfasc,Xylt1,Slc6a20a,Apbb1ip,Kdr,Aoah,Meg3,Igf1,Agbl4
Slc4a4,9530059O14Rik,Dscam,Col1a2,Dock8,Slc7a1,Ddx60,Cntn5,Frzb,Ccdc162
Slc6a11,Plp1,Sox6,Bicc1,Csf1r,Ccdc141,Arhgap15,Celf4,Sash1,Adamts20
Dtna,Tns3,Epn2,Adam12,Sirpa,Ptprb,Dab2,Snhg11,Ptn,Ak7
Rorb,Tmeff2,Kcnd2,Col3a1,Lgmn,Hmcn1,Mctp1,Myt1l,Bnc2,Rgs22
Bmpr1b,Mobp,Mmp16,Slc7a11,Runx1,Spock2,Slc9a9,Galntl6,Grin3a,Lrriq1
Aldh1l1,Tmem163,Dcc,Lama2,Ly86,Slco1c1,Ehd4,Rbfox3,Nell2,Hydin
Ptprz1,Ugt8a,Lrrc4c,Adamts12,Ikzf1,Dach1,Cmah,Arpp21,Pde4b,Gm973
Npas3,Elovl7,Sgcz,Prkag2,Plxdc2,Ptprg,Csf1r,Dlgap2,Lhfp,Spata17
Slc1a3,Mag,Sntg1,Sned1,Slc8a1,Ptprm,Snx2,Nrg3,Slc4a4,Kif6
Ctnnd2,Enpp6,Myt1,Slc6a13,Mertk,Myo10,Dock2,Grin2a,Ncam1,Shank2
Gpm6b,Tnr,Pdgfra,Colec12,Pde3b,Zfp366,Gas6,Dlg2,Bcar3,Syne1
Rgs20,Ppp1r16b,Ppp2r2b,Trpm3,Cx3cr1,Lrp8,Lyve1,Zfp385b,Npy,Glis3
Cpe,Dnm3,Anks1b,Atp1a2,Mef2c,Myo1b,Ms4a7,Epha6,Sgip1,Pacrg
Gpc5,Fyn,Lrrtm4,Arhgap29,Hpgds,Fli1,Cd163,Kcnh7,Esyt3,Spag17
Aqp4,Nkain2,Csmd3,Dlc1,Siglech,Igfbp7,AI607873,Robo2,Prss56,Ttc21a
Nrxn1,Zdhhc14,Cspg4,Eya2,Elmo1,Igf1r,Siglec1,Hecw1,Hey2,Ccdc108
