Astro,L6b,Vip,Pvalb,Peri,L6 IT,Serpinf1,Endo,Sncg,L5 IT,CR,L5 PT,Sst,Oligo,Macrophage,L4,L2/3 IT,Meis2,NP,VLMC,SMC,Lamp5,L6 CT
Slc1a3,Cplx3,Vip,Pvalb,Atp13a5,Rasl10a,Nov,Ly6c1,Htr3a,Deptor,Lhx1os,Fam19a1,Sst,Plp1,C1qb,Rorb,Myh7,Scgn,Tshz2,Dcn,Tagln,Gad2,Rprm
Gpr37l1,Ctgf,Crh,Tac1,Higd1b,Tesc,Enpp2,Cldn5,Tnfaip8l3,Dkkl1,Trp73,Fezf2,Grin3a,Sox10,C1qc,Cbln4,Calb1,Frmd7,Lypd1,Apod,Acta2,Npy,Foxp2
Ntsr2,Nxph4,Igf1,Cox6a2,P2ry14,Bmp3,Ap1s2,Ly6a,Sncg,Il1rapl2,Gm27199,Serpine2,Rab3b,Gjc3,C1qa,Rspo1,B230216N24Rik,Shisa8,Myl4,Ptgds,Tpm2,Kit,Tcrb
Cldn10,Tmem163,Pthlh,Nek7,Kcnj8,Igsf21,Kcnip1,Itm2a,Egln3,S100a10,Lhx5,Bhlhe40,Rbp4,Dbi,Hexb,Cpne9,C730002L08Rik,Lgr5,Etv1,Serping1,Myh11,Hapln1,Crym
Gja1,Ly6g6e,Calb2,Kcnc2,Vtn,Ak5,Cnr1,Ramp2,Cnr1,Scube1,Pkib,Tmem163,Lhx6,Olig1,Ctss,Camk2n1,Pvrl3,Cpne6,Tmem159,Isyna1,Mylk,Gad1,Col5a1
Aldoc,Gng12,Synpr,Rnd2,Igfbp7,Cck,Adarb2,Slc2a1,Npas1,Hs3st2,Ebf3,Adcyap1,Lypd6,Mobp,Tyrobp,LOC101056001,Enpp2,Gng4,Olfm3,Aldh1a2,Mustn1,Slc6a1,Gadd45a
F3,Hs3st4,Dlx1,Cplx1,Abcc9,Igfbp6,Nt5dc2,Ly6c2,Adarb2,Pamr1,Ramp1,Parm1,Lypd6b,Pllp,Fcer1g,R3hdm1,Rgs14,Th,Fezf2,Slc6a13,Wtip,Cplx3,3110035E14Rik
Pla2g7,Prss12,Prox1,Cartpt,Art3,Nell2,Frmd7,Eltd1,Rgs12,Foxp1,Ndnf,Gap43,Nxph1,Cnp,Csf1r,Rgs4,Cacng3,Pbx3,Stard5,Pcolce,Crip1,Dner,Hs3st4
Apoe,3110035E14Rik,Ap1s2,Erbb4,Rgs5,Col6a1,Cyp2a5,Flt1,P2ry1,Myl4,Lhx1,Etv1,Crhbp,Bcas1,Aif1,Camk4,Lamp5,Amigo2,Slc17a8,Slc7a11,Myl9,Pnoc,Gm30620
Gstm1,Clic5,Adarb2,Phlda1,Ace2,Lmo4,E530001K10Rik,Slco1a4,Frem1,Dkk3,Mab21l1,Gm34583,Synpr,Cd9,Fcgr3,S100a10,Wfs1,LOC105247067,Crym,Ifitm2,Olfr78,Fgf13,Garnl3
