Neuronal Precursor,Oligo,Neuron,Macrophage,OPC,Ependymal,Astro,Vascular,Mitotic,Epithelial,Macroglia
Igfbpl1,Plp1,Snhg11,C1qb,Pdgfra,Tmem212,Slc1a2,Vtn,Hmgb2,Ttr,Npy
Sox11,Mbp,Meg3,C1qa,Lhfpl3,Rarres2,Aldoc,Cldn5,Hist1h1b,Enpp2,Apod
Neurod1,Bcas1,Synpr,Ccl4,Olig1,Rsph1,Plpp3,Hba-a1,Top2a,1500015O10Rik,Igf1
Nfib,Sirt2,Arpp21,C1qc,C1ql1,1110017D15Rik,Slc1a3,Igfbp7,2810417H13Rik,Sostdc1,Vtn
Tiam2,Cnp,Calb2,Hexb,S100a13,Dynlrb2,Sparcl1,Itm2a,Ube2c,Folr1,Prss56
Stmn2,Mag,Meis2,Tyrobp,Olig2,Ccdc153,Cst3,Col1a2,Cenpf,Calml4,Frzb
Tubb3,Cldn11,Pbx3,Ccl2,Epn2,Tm4sf1,Mt3,Igf2,H2afz,Igfbp2,Foxd3
Zbtb20,Fyn,Grin2b,Fcer1g,Cspg4,Meig1,Apoe,Col1a1,Hist1h2ap,Fxyd1,Plp1
Tubb5,Gpr17,Syt1,Ctss,Scrg1,Fam183b,Atp1a2,Rgs5,Prc1,Igf2,Pla2g16
Sox4,Enpp6,Rab3a,Ccl3,Matn4,Tubb4b,Id3,Dcn,Cenpa,Bsg,Kctd12
Tmsb10,Bmp4,Pcp4,Csf1r,Cntn1,Mlf1,Fabp7,Col4a1,Mki67,Chchd10,Sepp1
Dlx6os1,Cd9,Tshz1,Lgmn,S100a1,Dbi,Aqp4,Ctla2a,Hmgn2,Kcnj13,Matn4
Ccnd2,Tubb4a,Mllt11,Cx3cr1,Pllp,Tppp3,Glul,Sparc,Birc5,Rbp1,Mgst1
Nfix,Nfasc,Ly6h,Pf4,Cdo1,3300002A11Rik,Clu,Hbb-bt,Cks2,Ptgds,Cmtm5
Stmn1,Lims2,Celf4,P2ry12,Sox10,1500015O10Rik,Mfge8,Pltp,Cdca8,Lbp,Sash1
Tubb2b,Tnr,Atp1b1,Fcrls,Gpr17,4933434E20Rik,Cpe,Bsg,Ccnd2,Spint2,Cpne8
Cd24a,Rnd2,Atp2b1,Sepp1,Cspg5,1700012B09Rik,Slc4a4,Hba-a2,Rrm2,Krt18,Lhfp
Map1b,Dynll2,Bcl11b,Ctsd,Ostf1,Vim,Mt1,Klf2,Pbk,Cryab,Fabp7
Zfp704,Ugt8a,Mef2c,Trem2,Tpm1,Elof1,Pla2g7,Hbb-bs,H2afv,Bst2,Ptn
Gm17750,Mobp,Ndnf,Laptm5,Ncald,Riiad1,Gja1,Ptgds,Tpx2,Msx1,Apoe
