Astrocyte,Entorhinal cortex,Dentate Principal cells,CA3 Principal cells,Dentate hilum,Subiculum,Endothelial stalk,Mural,CA1 Principal cells,Microglia,CA2 Principal cells,Endothelial tip,Neurogenesis (SGZ),Resident macrophage,Interneuron,Polydendrocyte_1,Oligodendrocyte,Polydendrocyte_2,Ependymal
ALDOC,TSHZ2,PCP4,NPTX1,CALB2,NOV,LY6C1,MYL9,FIBCD1,HEXB,PRKCA,IGF2,SOX11,LYZ2,GAD2,CACNG4,ERMN,ENPP6,CCDC153
SLC1A3,VSNL1,PROX1,NPTXR,NECAB1,POU3F1,FLT1,TPM2,BCL11B,CX3CR1,HS3ST4,COL1A2,IGFBPL1,MRC1,GAD1,LHFPL3,PLP1,SIRT2,TMEM212
GJA1,ARPP21,CALB1,CHGB,TRPS1,MAL2,LY6A,MYH11,POU3F1,CTSS,NRIP3,IGFBP2,MARCKSL1,PF4,ERBB4,OLIG1,MAL,BFSP2,RSPH1
SLC1A2,FXYD7,C1QL3,CAMK1D,NRP2,LDB2,ITM2A,ACTA2,MPPED1,C1QB,HPCA,APOD,HMGN2,STAB1,SLC6A1,PDGFRA,MAG,BCAS1,DYNLRB2
CLU,NAP1L5,C1QL2,LPL,SATB1,MPPED1,SLCO1A4,RGS5,PRKCB,CSF1R,ADCY1,SLC6A20A,SOX4,F13A1,VSTM2A,CSPG4,MOBP,RND2,RARRES2
MT2,TSHZ3,STXBP6,HPCA,SCG2,GAP43,CLDN5,CRIP1,CRYM,P2RY12,CAMK4,SLC7A11,HMGB3,CBR2,SLC32A1,OLIG2,CLDN11,CLDN11,CFAP126
PPAP2B,SLC17A6,SYNPR,PVRL3,PDE1A,RASGRP1,ADGRF5,TAGLN,MAL2,C1QA,FGFR1,NUPR1,CDK4,MS4A7,NAP1L5,PTPRZ1,MOG,CHN2,MIA
SLC4A4,NREP,LYPD1,HS3ST4,CPNE4,PEX5L,ABCB1A,LMOD1,PEX5L,C1QC,SPOCK1,DCN,RPLP0,MS4A6C,RBMS3,C1QL1,TRF,MBP,FOXJ1
NTSR2,MEIS2,KCTD4,SV2B,NRSN1,GALNT9,PTPRB,FILIP1L,NTM,LAPTM5,2010300C02RIK,SLC6A13,2810417H13RIK,MAF,NRXN3,GPR17,TSPAN2,MPZL1,1110017D15RIK
PLA2G7,HLF,BCL11B,SPOCK1,RAB3C,BCL11B,KLF2,IGFBP7,NEUROD6,SIGLECH,CPNE4,COLEC12,1190002F15RIK,LYVE1,KCNC1,VCAN,CAR2,PLP1,ENKUR
TTYH1,GAP43,RFX3,NEUROD6,NRIP3,PRKCB,ID1,MYLK,RASGRP1,SELPLG,ARAP2,PCOLCE,TOP2A,C1QB,ARL4C,TNR,OPALIN,GJC3,FAM183B
MT1,NCALD,NCALD,DGKB,CACNG2,SV2B,PLTP,CALD1,GAP43,TREM2,PTPRD,SLC22A6,TUBB2B,DAB2,RPH3A,SCRG1,4-Sep,CNP,AK7
CLDN10,HS6ST2,FAM163B,PRKCA,TRP53I11,PDE1A,SLCO1C1,MUSTN1,3110035E14RIK,TYROBP,SPINK8,ITIH5,H2AFV,CD163,DLX6OS1,CSPG5,QDPR,MAG,GM973
NDRG2,VWC2L,NPNT,NRIP3,RASGRP1,KCNH7,SLC2A1,HIGD1B,NOV,FCRLS,SV2B,COL1A1,HMGB2,C1QC,CNR1,S100A16,MBP,RNF122,DBI
ATP1A2,SNHG11,PPP1R1A,NRGN,RGS12,NRGN,RAMP2,PLN,NRGN,CTSD,NEUROD6,VTN,CCND2,C1QA,DLX1,SERPINE2,CNP,SLC44A1,MEIG1
ACSBG1,CHGB,JUN,NETO1,NRXN3,NTS,CTLA2A,PTRF,CCK,LGMN,AR,EDN3,DRAXIN,APOE,PNOC,MATN4,ENPP2,RASSF10,4933434E20RIK
APOE,STMN2,DSP,STMN2,CCK,FEZF2,LY6E,ASPN,OCIAD2,GPR34,NRXN3,ALDH1A2,2700094K13RIK,WFDC17,RAB3C,MARCKS,CRYAB,TMEM163,CCDC146
SCG3,GRM2,BTBD3,CPNE4,C1QL3,DCN,NFKBIA,ITGB1,GALNT9,TMEM119,COTL1,ZIC1,PBK,SEPP1,CPLX1,PLLP,TMEM88B,GPR17,SNTN
AQP4,NXPH3,SEMA5A,ACVR1C,CNTN4,RAB3C,CXCL12,GJA4,RAB3C,LY86,ELAVL2,TIMP3,EZH2,FCER1G,CYGB,NEU4,GM21984,QK,CALML4
PRDX6,DPP10,ANO3,ELAVL2,VGF,CADPS2,SRGN,PERP,HPCA,CST3,ARHGEF26,PTN,NEUROD1,CLEC10A,DNER,SOX10,PTGDS,PLXNB3,NNAT
