proctodeum,tailbud,hatching gland,leukocyte,neural,otic placode,mesoderm,optic cup,macrophage,differentiating neurons,lateral line,neural crest,epidermal,periderm,pharyngeal arch,retina pigmented epithelium,pectoral fin bud,heart,pharyngeal pouch,germline,erythroid,pancreas primordium,lens,pronephric duct,endoderm,myotome,notocord,ionocyte,muscle,endothelial
tspan35,hoxc3a,MGC174155,il6r,her2,stm,col5a2a,rx1,lcp1,elavl3,hmx2,ednrab,cfl1l,krt4,fibina,dct,pcolcea,si:dkey-261h17.1,pax1b,tdrd7a,hbae3,scg3,hmx4,cdh17,cldnc,myog,loxl5b,foxi3a,actn3a,clec14a
evx1,hoxa4a,si:dkey-26g8.4,lyz,her15.1,si:dkey-222f2.1,vwde,fabp7a,LOC100537803,myt1a,eya1,crestin,padi2,si:ch211-157c3.4,cd248b,pmelb,pitx1,meis3,irx7,ddx4,alas2,neurod1,crybb1,LOC101883320,aqp12,hsp90aa1.1,emilin3a,zgc:158222,tnnt1,egfl7
hoxa13a,ldlrad2,he1a,pdia2,LOC100534909,cldna,LOC103909969,six3b,ctssb.2,LOC100536821,six2b,sox10,cldni,zgc:85975,pmp22a,col9a1b,col7a1l,mmel1,etv4,dnd1,hbbe3,rltgr,tgfb3,slc5a9,nr5a2,klhl41b,si:dkey-12l12.1,ca15a,tgm2a,tie1
elf3,foxb1a,MGC174152,ncf1,id1,oc90,tcf15,vsx2,havcr1,dlb,hmx3,LOC103908616,cldn1,tgm1l4,cthrc1a,cx43,zgc:172136,podxl,pax1a,nanos3,slc4a1a,pax4,cryba4,cfap52,pklr,fxr2,noto,atp6v0a1a,desma,etv2
cdh1,LOC100001360,zgc:174855,abcb9,lrrn1,otop1,efemp2b,pcna,ctssb.1,onecutl,tmprss5,impdh1b,zgc:86896,si:ch1073-340i21.3,foxc1a,stra6,hand2,meis1a,nkx2.3,ca15b,MGC173646,zgc:162595,lim2.1,slc4a4a,elf3,zgc:92429,LOC100001051,atp6v1aa,actc1b,fli1a
tmprss2,cdx4,he1b,pygb,si:ch73-21g5.7,otomp,vcanb,six6b,cotl1,rtn1a,hmx3a,rgs5b,zgc:113944,capn9,fmoda,otx2,piwil2,rbpms2b,nanos1,LOC103909725,LOC100537766,pygma,si:dkeyp-44a8.4,aqp8b,LOC100534866,unc45b,ta,mal2,hhatla,plxnd1
cldnc,slc1a3a,wu:fa26c03,si:ch211-286b5.8,angptl4,six1b,col5a1,myca,arpc1b,nova2,epcam,sc:d156,epcam,krt5,tgfbi,fabp11a,osr1,prrx1a,fras1,pld6,fth1a,sst2,cryba1l1,foxj1a,ptprfa,jam2a,ntd5,atp6v0ca,hm:zewp0073,stab2
oclna,sox21a,zgc:174153,ch25hl2,her4.2,efhd1,emp2,prmt1,psap,tuba1c,krt15,grem2,lgals3l,anxa1c,cdh11,bhlhe40,si:ch211-203c7.2,ackr3b,alcama,piwil1,rfesd,ins,prox2,atp1a1a.4,foxa1,zgc:101853,pmp22b,atp6v1g1,pgam2,gpr182
cfhl2,rhbdl3,si:dkey-269i1.3,f13a1b,her12,LOC101886004,hapln1a,ncl,cxcr3.2,ebf2,fndc7rs1,paics,si:dkey-152p16.6,LOC100148757,col11a1b,rlbp1a,astn1,gata5,cxcl12b,LOC100538298,LOC100334599,insm1a,cx23,fbp1b,cox8b,hfe2,zgc:158328,ceacam1,actc1a,kdrl
hoxd13a,msgn1,LOC100535122,srd5a2a,LOC100149066,tbx2b,col1a1b,LOC557301,mpeg1.1,tubb5,six1b,gch2,LOC100334363,si:ch73-78o10.1,lect1,pmela,col6a3,tpm4a,fzd8a,LOC103911757,hbbe1.1,slc26a3.2,foxe3,slc4a2a,col2a1a,pabpc4,ptgdsb,atp6v1ba,acta1a,sox18
