24hpf-differentiating neurons - hmx,24hpf-differentiating neurons - dlx,24hpf-epidermal - prr15la,24hpf-pancreas primordium,24hpf-ionocyte - ca2,24hpf-leukocyte,24hpf-neural - ventral hindbrain,24hpf-erythroid,24hpf-differentiating neurons - phox2a,24hpf-mesoderm - emp2,24hpf-differentiating neurons,24hpf-muscle - myl1,24hpf-neural - midbrain,24hpf-neural - dorsal spinal cord,24hpf-neural - diencephalon ,24hpf-neural crest,24hpf-optic cup,24hpf-periderm,24hpf-tailbud - spinal cord,24hpf-pectoral fin bud,24hpf-macrophage,24hpf-epidermal - grhl3,24hpf-epidermal - olfactory placode,24hpf-neural - dorsal hindbrain,24hpf-otic placode,24hpf-endoderm,24hpf-myotome,24hpf-pharyngeal pouch,24hpf-epidermal - anterior,24hpf-tailbud - PSM,24hpf-pharyngeal arch - tbx1,24hpf-endothelial,24hpf-hatching gland,24hpf-differentiating neurons - eomesa,24hpf-pharyngeal arch - cd248b,24hpf-lens,24hpf-neural - floorplate,24hpf-endothelial - posterior,24hpf-neural - floorplate posterior,24hpf-differentiating neurons - sst1.1,24hpf-epidermal - atp1a1a.2,24hpf-neural - hindbrain roofplate,24hpf-differentiating neurons - rohon beard,24hpf-retina pigmented epithelium,24hpf-neural - telencephalon,24hpf-neural - midbrain ventral nkx6.2,24hpf-neural - hindbrain gsx1,24hpf-neural - posterior ventral nkx6.2,24hpf-germline,24hpf-notocord,24hpf-heart,24hpf-heart - mature,24hpf-muscle - myl10,24hpf-neural - diencephalon posterior,24hpf-pharyngeal arch - ndnf,24hpf-heart - hoxd9a,24hpf-epidermal - muc5ac,24hpf-pharyngeal arch - lbx1a,24hpf-neural crest - xanthophore,24hpf-neural crest - melanoblast,24hpf-neural crest - iridoblast,24hpf-neural crest - grem2,24hpf-neural crest - mcamb,24hpf-pronephric duct,24hpf-proctodeum,24hpf-epidermal - s100a11,24hpf-lateral line - krt15,24hpf-epidermal - and1,24hpf-epidermal - acbd7,24hpf-epidermal - rbp4,24hpf-epidermal - col7a1l,24hpf-epidermal - kera
sox1a,dlx1a,pvalb8,rltgr,foxi3a,ch25hl2,sp8b,si:ch211-5k11.12,phox2a,vwde,elavl3,pvalb2,eng2b,slc1a3a,id3,sox10,rx1,si:ch211-157c3.4,mdka,pcolcea,ctssb.1,wu:fb12c09,cldnh,mdkb,stm,cldnc,hsp90aa1.1,pax1b,cfl1l,LOC100537277,tbx1,clec14a,MGC174152,tbr1b,pmp22a,crybb1,slit1b,dab2,LOC103910062,im:7138475,LOC569335,rspo3,neurod1,pmela,lrig1,ntn1a,lbx1b,ntn1a,nanos3,emilin3a,si:dkey-261h17.1,myl7,smyhc1,shha,pitx3,si:dkey-261h17.1,foxa3,thbs4b,slc22a7a,tyrp1b,apoda.1,pmp22a,ednrab,aqp8b,mal,s100a11,krt15,cldni,pvalb8,cldni,cldni,kera
hmx3a,dlx5a,cldnh,nucb2b,ca15a,ncf1,sox3,hbae3,phox2bb,col5a2a,onecut1,ns:zf-e68,otx2,si:ch211-251b21.1,nkx2.4a,slc2a15b,six3b,anxa1c,hoxb9a,hand2,lcp1,si:dkey-87o1.2,epcam,casz1,si:dkey-222f2.1,foxa1,klhl41b,epcam,epcam,apoc1l,si:dkey-261h17.1,yrk,wu:fb37b09,eomesa,cd248b,vcana,loxl5b,mrc1a,foxj1a,myo3b,cldnh,igfbp7,zgc:158291,dct,LOC100538174,nkx6.2,mdka,sulf2b,dnd1,si:dkey-12l12.1,pcolcea,cmlc1,myl13,pitx3,si:dkey-261h17.1,prrx1a,si:ch211-163l21.8,vwde,tmem130,dct,defbl1,twist1a,sox10,LOC101883320,cldnc,trpv6,hmx3,krt97,cldne,LOC100334363,si:dkey-152p16.6,LOC100334363
hmx3,dlx2a,prr15la,LOC565781,ceacam1,si:ch1073-429i10.1,lrrn1,hbbe1.1,insm1a,thbs4b,tubb5,tnni2b.1,sox19a,mdka,prdx1,cax1,cad,zgc:110283,slc1a3a,cfd,coro1a,ponzr5,f11r.1,zic1,sox10,foxa3,myog,si:dkey-261h17.1,cldn1,her1,LOC101886266,fli1a,ctslb,celf3a,col1a1a,tgfb3,clu,stab2,sulf1,scg3,atp1a1a.2,cdh6,six1b,LOC103911087,foxg1a,lrrn1,gsx1,nkx6.2,tdrd7a,loxl5b,tmem88b,vmhc,myl10,foxa1,foxc1a,aldh1a2,si:dkey-87o1.2,lbx1a,slc2a15b,slc45a2,si:dkey-197i20.6,ednrab,foxd3,acy3.2,elf3,ponzr5,hmx3a,vcana,cldnh,s100a10b,cfl1l,cldni
sox1b,celf3a,LOC100006250,isl1,LOC569335,lyz,si:ch73-21g5.7,hbbe3,nkx6.1,emp2,LOC100536821,ckmb,wu:fb25b09,prss35,nkx2.4b,slc45a2,ncl,zgc:193505,ldlrad2,pitx1,mfap4,cldne,pvalb8,olig3,cldna,aqp12,tnni2b.1,prdm1a,col1a2,ntd5,hey1,tmem88a,LOC100536033,stmn1b,tgfbi,pitx3,col9a3,clec14a,nkx2.2b,gad1b,dmrt2a,sost,cdh6,pmelb,mdkb,foxa1,mdkb,nkx2.2b,ddx4,ta,krt18,tnni1b,zgc:86709,foxa2,eya2,prdm1a,krt97,six1b,wu:fc46h12,tyrp1a,si:ch211-243a20.3,grem2b,erbb3b,pdzk1,cldnh,LOC569335,si:dkey-222f2.1,cldn1,si:ch211-195b11.3,rbp4,cyt1l,krt97
LOC103911504,sp9,grp,scg3,zgc:158222,coro1a,plp1a,MGC173646,vim,angptl7,myt1a,tnni2a.4,otx1a,mdkb,shha,LOC103911087,nap1l1,krt17,gfap,si:dkey-261h17.1,LOC100537803,icn2,cldnb,zic2b,oc90,epcam,myl1,krt18,cldni,apoeb,aplnrb,si:ch211-156j16.1,ctsl1b,rtn1a,col1a2,hmx4,npr3,flt4,vim,tal2,si:dkey-193p11.2,bmp5,tuba8l3,tyrp1a,sox5,wu:fb25b09,LOC100150849,phox2bb,ca15b,LOC100333762,ftr82,tnnt2a,tnnc1b,barhl1a,foxc1b,pmp22a,muc5ac,eya1,gch2,LOC103911087,pnp4a,grem2,LOC103910711,si:dkeyp-27c8.2,LOC794522,LOC793940,cldnb,krt96,elf3,si:dkey-152p16.6,cyt1,tnw
mllt11,LOC100536821,tmem45b,sst2,cldnh,lcp1,pax6a,LOC100334599,onecut1,col1a1b,ebf2,ckma,LOC103911157,hoxc3a,fezf2,pah,pcna,agr1,hoxc3a,ftr82,havcr1,si:ch211-195b11.3,cldn7b,epha2a,si:ch211-152c2.3,cdh1,pabpc4,egfl6,postnb,hoxc13b,six1b,etv2,wu:fb36g12,elavl3,reck,lim2.1,spon1b,mcamb,nkx2.9,nppc,atp1b1b,cdon,pcbp4,fabp11a,fezf2,ntn1b,irx3a,nkx6.1,fbxo18,LOC100149028,LOC100331639,rbfox1l,acta1a,ntn1b,ndnf,reck,cldnh,postnb,akr1b1,pah,gpr143,si:dkey-261h17.1,crestin,slc26a1,LOC100003669,wu:fj16a03,eya1,apoeb,lye,cfl1l,cldn1,s100a10b
LOC100536821,elavl3,zgc:92380,ins,nqo1,srgn,LOC100334443,si:ch211-5k11.2,isl1,col1a2,dlb,mylpfa,otx1b,gfap,rx3,akr1b1,tktb,zgc:109868,LOC100334443,tmem88b,lgals2a,spint2,capsla,zic2a,si:ch211-80h18.1,cd9b,rbfox1l,nanos1,padi2,fn1b,fam212ab,kdrl,MGC174155,islr2,tpm4a,cryba1l1,shha,si:ch211-156j16.1,ntn1b,sst1.1,ndrg1a,fabp7b,ebf3,slc45a2,cyp26c1,otx1a,si:ch211-137a8.4,ntn1b,hspb1,ntd5,fn1a,acta1b,aldoab,lmx1ba,pmp22a,prdm16,nansb,met,cax1,pmela,ltk,her6,mcamb,slc4a4a,fxyd2,pvalb8,gsnb,cfl1l,icn2,anxa1a,s100a10b,cxcl14
celf3a,rtn1a,cldnb,gcgb,ca2,LOC100537803,gfap,hbae1,nhlh2,col5a1,rtn1a,tnnt3a,efna2a,hoxb9a,nkx2.1,gch2,fabp7a,LOC100537515,pkd1b,col5a1,ctssb.2,cldnb,insm1b,fzd10,efhd1,serpinf2b,tmem38a,cd9b,krt8,her7,LOC100003704,krt18,si:dkey-248g15.3,bcl11ba,fibina,cryba4,ntn1b,etv2,col11a1a,slc32a1,cldne,zgc:114181,onecutl,cx43,sox1b,sulf2b,plp1a,nkx2.2a,cxcr4b,fxyd1,si:dkey-207j16.2,vmhcl,tnni2b.1,pitx2,tmem88b,hoxd9a,icn2,sept9a,bscl2l,gch2,sox10,dlx2a,tfap2a,ahcyl1,rbm47,cldnh,epcam,s100a10b,oclna,col1a1b,LOC100334363,col1a1b
mpped2,dlx2b,icn2,neurod1,atp6v0a1a,npsn,sox19a,slc4a1a,dlb,tgfbi,nhlh2,myl1,sox3,hoxa4a,sox1b,tspan36,hspe1,si:ch211-195b11.3,vim,col7a1l,arpc1b,s100u,dlx3b,cdon,LOC101886004,oc90,ckmb,alcama,col1a1b,c1qtnf5,sema4c,egfl7,si:dkey-26g8.4,sox4a,cthrc1a,fabp11a,oc90,sox18,plekhn1,rhpn2,LOC793940,zic2a,onecut1,tyrp1b,LOC100536415,foxa,fabp7a,nkx2.9,lnpep,cmn,krt8,zgc:86709,tnni1c,fgfr3,prrx1a,twist3,si:dkey-65b12.6,col5a2a,pah,akr1b1,alx4a,snai1a,fxyd1,ndrg1a,spint2,zgc:198419,tmprss5,myh9a,fxyd1,cyt1l,myh9a,cfl1l
